DELITO_DESAGREGACION,delitos_seguimiento_predicted,count(robos.NDD)
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",3988
"ROBO A DOMICILIO","ROBO A PERSONAS",3520
NO_APLICA,"ROBO DE MOTOS",3377
"ROBO DE CARROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2952
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A UNIDADES ECONOMICAS",2527
"ROBO EN VÍAS O CARRETERAS","OTROS ROBOS",2502
"ROBO DE BIENES A ENTIDAD PÚBLICA","OTROS ROBOS",2178
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","OTROS ROBOS",2153
"ROBO A PERSONAS",NULL,1964
"ROBO EN VÍAS O CARRETERAS","ROBO A PERSONAS",1895
"ROBO A EMBARCACIONES","ROBO DE CARROS",1884
"ROBO OTROS","ROBO A UNIDADES ECONOMICAS",1843
"ROBO DE VEHÍCULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1397
"ROBO A PERSONAS","ROBO A PERSONAS",1388
"OTROS ROBOS","ROBO A UNIDADES ECONOMICAS",1303
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO DE MOTOS",1249
"ROBO A DOMICILIO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",1237
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A UNIDADES ECONOMICAS",1214
"ROBO DOMICILIOS","ROBO A UNIDADES ECONOMICAS",1175
"ROBO DOMICILIOS","ROBO A PERSONAS",1155
"ROBO DE BIENES A INSTITUCION EDUCATIVA","OTROS ROBOS",1135
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A UNIDADES ECONOMICAS",1113
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A DOMICILIO",1112
"ROBO DE CARROS","ROBO DE CARROS",1079
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","OTROS ROBOS",1078
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",982
"ROBO A BIENES DE ENTIDADES FINANCIERAS","OTROS ROBOS",976
"ROBO A DOMICILIO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",968
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",965
"ROBO OTROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",957
"ROBO DE MOTOS","ROBO A PERSONAS",944
"ROBO DE MOTOS",NULL,909
"ROBO DE MOTORES EMBARCACIONES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",825
"OTROS ROBOS","ROBO A UNIDADES ECONOMICAS",807
"OTROS ROBOS","ROBO DE CARROS",793
"ROBO DE VEHÍCULOS","ROBO DE MOTOS",755
"ROBO EN LOCALES COMERCIALES","ROBO A PERSONAS",734
"ROBO DE CARROS",NULL,730
"OTROS ROBOS",NULL,679
"ROBO DE CARROS","ROBO DE MOTOS",585
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A DOMICILIO",582
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A PERSONAS",572
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO DE CARROS",571
"ROBO A DOMICILIO",NULL,538
"OTROS ROBOS","ROBO DE MOTOS",509
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A PERSONAS",491
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",490
"ROBO EN VÍAS O CARRETERAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",480
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A PERSONAS",480
"ROBO DE BIENES A ENTIDAD PRIVADA","OTROS ROBOS",478
"ROBO A DOMICILIO","ROBO DE CARROS",432
NO_APLICA,"ROBO A DOMICILIO",428
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",412
"ROBO OTROS","ROBO A PERSONAS",410
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A UNIDADES ECONOMICAS",405
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",396
"ROBO DE VEHÍCULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",395
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",388
"ROBO OTROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",378
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","OTROS ROBOS",368
"ROBO A DOMICILIO","ROBO A DOMICILIO",347
"ROBO DE CARROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",333
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A UNIDADES ECONOMICAS",332
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO DE CARROS",317
"OTROS ROBOS","ROBO A UNIDADES ECONOMICAS",303
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A DOMICILIO",299
"ROBO OTROS","ROBO A DOMICILIO",292
"OTROS ROBOS","ROBO A DOMICILIO",288
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO A DOMICILIO",287
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A UNIDADES ECONOMICAS",284
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A DOMICILIO",282
"ROBO EN VÍAS O CARRETERAS","ROBO DE CARROS",276
"ROBO DE MOTOS","ROBO DE CARROS",275
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",270
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO A PERSONAS",263
"ROBO OTROS","ROBO A UNIDADES ECONOMICAS",262
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A UNIDADES ECONOMICAS",261
"ROBO DOMICILIOS","ROBO A DOMICILIO",257
"ROBO A EMBARCACIONES","OTROS ROBOS",252
"ROBO A PERSONAS","ROBO A UNIDADES ECONOMICAS",245
"ROBO DOMICILIOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",236
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO A UNIDADES ECONOMICAS",232
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO A UNIDADES ECONOMICAS",219
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A UNIDADES ECONOMICAS",212
"ROBO OTROS","ROBO A UNIDADES ECONOMICAS",209
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO DE CARROS",207
"ROBO EN LOCALES COMERCIALES","ROBO A DOMICILIO",201
"ROBO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",200
"OTROS ROBOS","ROBO A DOMICILIO",197
"ROBO DE MOTOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",189
"ROBO DE MOTOCICLETAS","ROBO DE CARROS",174
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",173
NO_APLICA,"ROBO A UNIDADES ECONOMICAS",147
NO_APLICA,"ROBO A UNIDADES ECONOMICAS",147
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A PERSONAS",147
"ROBO A PERSONAS","ROBO A UNIDADES ECONOMICAS",137
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A UNIDADES ECONOMICAS",133
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO A PERSONAS",131
"ROBO DOMICILIOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",125
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",123
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","ROBO A PERSONAS",122
"ROBO DE MOTOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",120
"ROBO DE MOTORES EMBARCACIONES","OTROS ROBOS",118
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A DOMICILIO",118
"ROBO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",117
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A PERSONAS",116
"ROBO A BIENES DE INSTITUCION PUBLICA",NULL,111
"HURTO A PERSONAS","ROBO A PERSONAS",109
"ROBO DOMICILIOS","ROBO A DOMICILIO",108
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",103
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO A UNIDADES ECONOMICAS",101
"ROBO EN VÍAS O CARRETERAS","ROBO DE MOTOS",99
"ROBO A PERSONAS","ROBO A UNIDADES ECONOMICAS",98
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",98
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A UNIDADES ECONOMICAS",98
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO A UNIDADES ECONOMICAS",94
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A DOMICILIO",94
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO A DOMICILIO",87
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A UNIDADES ECONOMICAS",83
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO A DOMICILIO",82
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","OTROS ROBOS",79
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",77
"HURTO A DOMICILIO","OTROS ROBOS",74
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",73
"ROBO DE CARROS","ROBO A UNIDADES ECONOMICAS",72
"ROBO A BIENES DE UNIDADES ECONOMICAS",NULL,70
"ROBO DE MOTOS","ROBO A UNIDADES ECONOMICAS",67
"ROBO DOMICILIOS","ROBO A DOMICILIO",66
"HURTO A DOMICILIO","ROBO A DOMICILIO",64
"HURTO A PERSONAS","OTROS ROBOS",63
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",59
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A PERSONAS",58
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",57
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO DE MOTOS",56
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO A UNIDADES ECONOMICAS",55
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A UNIDADES ECONOMICAS",49
"ROBO DE VEHÍCULOS","ROBO A DOMICILIO",49
NO_APLICA,"ROBO DE CARROS",49
"ROBO OTROS","ROBO A PERSONAS",48
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO A PERSONAS",46
"HURTO A MOTOS","ROBO DE MOTOS",45
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO A PERSONAS",44
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",43
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",43
"ROBO DE MOTOCICLETAS","ROBO DE CARROS",41
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",40
"ROBO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",40
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO A UNIDADES ECONOMICAS",39
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A DOMICILIO",38
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",37
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",37
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO DE MOTOS",36
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO A DOMICILIO",36
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",35
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A UNIDADES ECONOMICAS",35
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A UNIDADES ECONOMICAS",35
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO A UNIDADES ECONOMICAS",35
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",34
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",34
"HURTO A BIENES PUBLICOS","OTROS ROBOS",34
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A UNIDADES ECONOMICAS",33
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A DOMICILIO",32
"ROBO DE MOTOCICLETAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",32
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",31
"ROBO A BIENES DE UNIDADES ECONOMICAS","ROBO A DOMICILIO",30
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A DOMICILIO",29
"ROBO DE MOTOCICLETAS","ROBO A DOMICILIO",29
"HURTO A CARROS","ROBO DE CARROS",28
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS",NULL,27
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",25
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A PERSONAS",25
"ROBO EN VÍAS O CARRETERAS","ROBO A UNIDADES ECONOMICAS",25
"HURTO A CARROS","OTROS ROBOS",25
"HURTO A ACCESORIOS","OTROS ROBOS",24
"ROBO DE VEHÍCULOS","ROBO A PERSONAS",24
"ROBO OTROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",23
"ROBO A EMBARCACIONES","ROBO A PERSONAS",23
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A DOMICILIO",22
"HURTO A MOTOS","OTROS ROBOS",21
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A DOMICILIO",20
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO DE CARROS",20
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A DOMICILIO",20
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",19
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO DE MOTOS",19
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES",NULL,19
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A DOMICILIO",18
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A DOMICILIO",17
"ROBO EN LOCALES COMERCIALES","ROBO DE MOTOS",16
"ROBO EN VÍAS O CARRETERAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",16
"HURTO A ACCESORIOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",16
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A DOMICILIO",16
NO_APLICA,NULL,16
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO A DOMICILIO",15
"ROBO DE VEHÍCULOS","ROBO DE CARROS",15
"ROBO OTROS","ROBO A UNIDADES ECONOMICAS",14
"HURTO A PERSONAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",14
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A PERSONAS",14
"ROBO DOMICILIOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",13
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A PERSONAS",13
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",13
"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS","ROBO A PERSONAS",13
"ROBO DOMICILIOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",13
"HURTO A DOMICILIO","ROBO A UNIDADES ECONOMICAS",12
"HURTO A PERSONAS","ROBO A PERSONAS",12
TRANSITO,"OTROS ROBOS",11
"ROBO DE BIENES PERSONALES AL INTERIOR DEL VEHÍCULO","ROBO A PERSONAS",11
"ROBO EN LOCALES COMERCIALES","ROBO DE CARROS",11
"HURTO A DOMICILIO","ROBO A DOMICILIO",10
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO A UNIDADES ECONOMICAS",10
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO A UNIDADES ECONOMICAS",10
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A UNIDADES ECONOMICAS",10
"HURTO A BIENES PUBLICOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",10
"HURTO A ACCESORIOS","ROBO A PERSONAS",9
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",9
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",9
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO A UNIDADES ECONOMICAS",9
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO A DOMICILIO",8
"HURTO A BIENES DE UNIDADES ECONOMICAS","OTROS ROBOS",8
"ROBO A EMBARCACIONES","ROBO A UNIDADES ECONOMICAS",8
"ROBO DE MOTOS","ROBO DE CARROS",8
"ROBO A BIENES DE ENTIDADES FINANCIERAS",NULL,8
"HURTO A CARROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",7
"HURTO A BIENES DE UNIDADES ECONOMICAS","ROBO A UNIDADES ECONOMICAS",7
"ROBO A EMBARCACIONES","ROBO A UNIDADES ECONOMICAS",7
"HURTO A BIENES PUBLICOS","ROBO A PERSONAS",7
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",7
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO DE CARROS",7
"ROBO DE BIENES A EMPRESA/FABRICA","ROBO A UNIDADES ECONOMICAS",6
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",6
"HURTO A PERSONAS","ROBO A UNIDADES ECONOMICAS",6
"ROBO DE MOTORES EMBARCACIONES","ROBO A UNIDADES ECONOMICAS",6
"ROBO DE MOTOCICLETAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",6
"ROBO A VEHICULOS DE TRANSPORTE DE VALORES","ROBO A UNIDADES ECONOMICAS",6
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO DE CARROS",5
"ROBO EN LOCALES COMERCIALES","ROBO A UNIDADES ECONOMICAS",5
"ROBO DE MOTOS","ROBO A DOMICILIO",5
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO DE CARROS",5
"HURTO A PERSONAS","ROBO DE MOTOS",5
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO DE CARROS",5
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES",NULL,5
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO A DOMICILIO",4
"HURTO A ACCESORIOS","ROBO A UNIDADES ECONOMICAS",4
"HURTO A BIENES PUBLICOS","ROBO A UNIDADES ECONOMICAS",4
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO A UNIDADES ECONOMICAS",4
"HURTO A BIENES PUBLICOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4
ABIGEATO,"OTROS ROBOS",4
"ROBO EN VÍAS O CARRETERAS","ROBO A PERSONAS",4
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO A UNIDADES ECONOMICAS",4
"ROBO DE BIENES A ENTIDAD PRIVADA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4
"ROBO DE MOTORES EMBARCACIONES","ROBO A PERSONAS",4
"ROBO DE BIENES A INSTITUCION EDUCATIVA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4
"ROBO A BANCOS - ENTIDADES  FINANCIERAS","ROBO A PERSONAS",4
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",4
TRANSITO,"ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",3
"HURTO A DOMICILIO","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",3
"ROBO A BIENES DE INSTITUCION PUBLICA","ROBO A PERSONAS",3
"HURTO A PERSONAS","ROBO DE CARROS",3
"ROBO DE MOTORES EMBARCACIONES","ROBO DE MOTOS",3
"HURTO A EMBARCACIONES O PARTES EN ESPACIOS ACUATICOS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",3
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","ROBO A DOMICILIO",3
"ROBO A  BOTES PESQUEROS – YATES- FIBRAS-VELEROS ETC.","ROBO A UNIDADES ECONOMICAS",3
"ROBO A BIENES DE ESTABLECIMIENTOS DE COLECTIVOS U ORGANIZACIONES SOCIALES","ROBO DE MOTOS",3
"ROBO DE MOTORES EMBARCACIONES","ROBO A PERSONAS",3
"ROBO A BIENES DE INSTITUCIONES DE SALUD","ROBO DE MOTOS",3
"ROBO A BIENES DE ENTIDADES FINANCIERAS","ROBO DE MOTOS",3
"HURTO A BIENES PUBLICOS","ROBO A PERSONAS",3
"HURTO A PERSONAS",NULL,3
"HURTO A DOMICILIO",NULL,3
"ROBO DE CARROS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2
"ROBO DE BIENES A ENTIDAD PÚBLICA","ROBO A UNIDADES ECONOMICAS",2
"HURTO A BIENES DE UNIDADES ECONOMICAS","ROBO DE BIENES, ACCESORIOS Y AUTOPARTES DE VEHICULOS",2
"ROBO DE ACCESORIOS DE VEHÍCULOS","ROBO A UNIDADES ECONOMICAS",2
"ROBO DE VEHÍCULOS","ROBO A PERSONAS",2
"ROBO A BIENES DE INSTITUCIONES EDUCATIVAS","ROBO DE MOTOS",2
"HURTO A DOMICILIO","ROBO A DOMICILIO",2
"HURTO A BIENES DE UNIDADES ECONOMICAS","ROBO A DOMICILIO",2
